s	free_energy
intronR	4.05
intronR	3.10
intronR	8.96
intronR	8.71
intronR	10.49
intronR	5.73
intronR	14.21
intronR	3.42
intronR	6.15
intronR	1.89
intronR	4.09
intronR	9.84
intronR	11.34
intronR	8.45
intronR	5.97
intronR	5.38
intronR	12.45
intronR	11.64
intronR	11.93
intronR	14.33
intronR	6.90
intronR	11.88
intronR	15.09
intronR	5.84
intronR	10.79
intronR	6.63
intronR	1.70
intronR	5.12
